# formica run 1  ended: manual save  at day 12704.8
# events:
# 80.1	DORMANCY at 13.9C
# 222.0	REACTIVATION at 12.0C
# 417.0	DORMANCY at 18.2C
# 587.0	REACTIVATION at 12.0C
# 782.0	DORMANCY at 18.2C
# 952.0	REACTIVATION at 12.0C
# 1147.0	DORMANCY at 18.2C
# 1317.0	REACTIVATION at 12.0C
# 1512.0	DORMANCY at 18.2C
# 1682.0	REACTIVATION at 12.0C
# 1877.0	DORMANCY at 18.2C
# 2047.0	REACTIVATION at 12.0C
# 2242.0	DORMANCY at 18.2C
# 2412.0	REACTIVATION at 12.0C
# 2607.0	DORMANCY at 18.2C
# 2777.0	REACTIVATION at 12.0C
# 2972.0	DORMANCY at 18.2C
# 3142.0	REACTIVATION at 12.0C
# 3337.0	DORMANCY at 18.2C
# 3507.0	REACTIVATION at 12.0C
# 3702.0	DORMANCY at 18.2C
# 3872.0	REACTIVATION at 12.0C
# 4067.0	DORMANCY at 18.2C
# 4237.0	REACTIVATION at 12.0C
# 4432.0	DORMANCY at 18.2C
# 4602.0	REACTIVATION at 12.0C
# 4797.0	DORMANCY at 18.2C
# 4967.0	REACTIVATION at 12.0C
# 5162.0	DORMANCY at 18.2C
# 5332.0	REACTIVATION at 12.0C
# 5527.0	DORMANCY at 18.2C
# 5697.0	REACTIVATION at 12.0C
# 5878.6	QUEEN DIED (senescence)
day	amb	therm	pop	out	cells	cPerAnt	eggs	larvae	stalled	pupae	larderU	cropSum	fatMean	qAge	qGlass	qChill	qDormant	qRate	emerged	died	digs	fills	meals
710.9	24.95	0.998	67	37	200	2.99	20	56	19	0	0	43.0	1.567	402.0	123.9	0.0	0	0.00	76	9	1	42	684
720.9	24.67	0.983	62	51	200	3.23	0	39	22	37	0	26.1	1.577	411.9	133.9	0.0	0	0.00	76	14	1	42	789
730.9	24.12	0.956	97	79	200	2.06	0	21	17	16	0	47.7	1.168	421.6	143.9	0.0	0	0.00	113	16	1	42	825
740.9	23.34	0.917	108	81	200	1.85	1	15	6	4	0	59.7	1.238	431.0	153.9	0.0	0	0.00	128	20	1	42	876
750.9	22.34	0.867	109	88	200	1.83	20	16	0	0	20	57.9	1.453	439.9	163.9	0.0	0	11.68	132	23	1	42	913
760.9	21.15	0.807	108	83	200	1.85	40	24	0	0	83	54.0	1.561	448.3	173.9	0.0	0	2.59	132	24	1	42	913
770.9	19.81	0.740	108	36	202	1.87	42	63	0	0	131	71.5	1.598	456.1	183.9	0.0	0	1.55	132	24	3	42	913
780.9	18.35	0.668	106	57	226	2.13	34	97	0	0	137	66.5	1.600	463.1	193.9	0.0	0	3.44	132	26	27	42	913
790.9	16.83	0.592	102	1	277	2.72	21	107	0	0	137	71.1	1.600	469.4	195.0	0.9	1	0.00	132	30	78	42	913
800.9	15.28	0.514	97	55	299	3.08	1	121	0	0	137	63.5	1.600	474.9	195.0	2.3	1	0.00	132	35	100	42	913
810.9	13.76	0.438	94	67	299	3.18	0	122	0	0	140	69.1	1.599	479.7	195.0	4.1	1	0.00	132	38	100	42	913
820.9	12.30	0.365	94	74	299	3.18	0	122	0	0	140	72.4	1.598	483.7	195.0	6.6	1	0.00	132	38	100	42	913
830.9	10.95	0.297	94	74	299	3.18	0	122	0	0	140	67.0	1.597	487.0	195.0	9.8	1	0.00	132	38	100	42	913
840.9	9.75	0.250	94	76	299	3.18	0	122	0	0	140	64.7	1.597	489.7	195.0	14.0	1	0.00	132	38	100	42	913
850.9	8.73	0.250	93	77	299	3.22	0	122	0	0	140	60.9	1.597	492.2	195.0	19.3	1	0.00	132	39	100	42	913
860.9	7.93	0.250	93	78	299	3.22	0	122	0	0	140	57.9	1.597	494.7	195.0	25.6	1	0.00	132	39	100	42	913
870.9	7.37	0.250	93	78	299	3.22	0	122	0	0	140	53.7	1.597	497.2	195.0	32.8	1	0.00	132	39	100	42	913
880.9	7.06	0.250	91	77	299	3.29	0	122	0	0	140	48.4	1.597	499.7	195.0	40.7	1	0.00	132	41	100	42	913
890.9	7.02	0.250	90	75	299	3.32	0	122	0	0	140	43.7	1.597	502.2	195.0	48.9	1	0.00	132	42	100	42	913
900.9	7.24	0.250	90	76	299	3.32	0	122	0	0	140	39.7	1.597	504.7	195.0	56.9	1	0.00	132	42	100	42	913
910.9	7.72	0.250	90	76	299	3.32	0	122	0	0	140	35.7	1.596	507.2	195.0	64.4	1	0.00	132	42	100	42	913
920.9	8.45	0.250	90	76	299	3.32	0	122	0	0	140	31.8	1.595	509.7	195.0	71.0	1	0.00	132	42	100	42	913
930.9	9.40	0.250	88	74	299	3.40	0	122	0	0	140	27.5	1.596	512.2	195.0	76.6	1	0.00	132	44	100	42	913
940.9	10.54	0.277	87	74	299	3.44	0	122	0	0	140	23.5	1.594	514.8	195.0	81.2	1	0.00	132	45	100	42	913
950.9	11.85	0.342	86	74	299	3.48	0	122	0	0	140	19.4	1.586	517.9	195.0	84.7	1	0.00	132	46	100	42	913
960.9	13.28	0.414	84	72	299	3.56	0	120	120	2	140	14.2	1.572	521.6	8.9	0.0	0	0.00	132	48	100	42	913
970.9	14.79	0.489	84	72	299	3.56	0	120	120	2	140	9.0	1.552	526.1	18.9	0.0	0	0.00	132	48	100	42	913
980.9	16.33	0.567	83	71	299	3.60	0	120	120	2	140	4.0	1.517	531.4	28.9	0.0	0	0.00	132	49	100	42	913
990.9	17.87	0.643	83	68	299	3.60	0	119	99	2	0	5.1	1.420	537.5	38.9	0.0	0	0.00	133	50	100	42	1053
1000.9	19.35	0.717	83	59	299	3.60	0	65	65	1	0	35.3	1.461	544.3	48.9	0.0	0	0.00	134	51	100	42	1056
1010.9	20.73	0.787	82	37	299	3.65	0	36	35	1	0	53.3	1.574	551.8	58.9	0.0	0	0.00	135	53	100	42	1068
1020.9	21.97	0.849	81	42	298	3.68	0	17	12	11	0	50.6	1.585	560.0	68.9	0.0	0	0.00	136	55	100	43	1167
1030.9	23.04	0.902	88	48	298	3.39	1	4	3	10	0	55.0	1.501	568.8	78.9	0.0	0	0.00	143	55	100	43	1200
1040.9	23.89	0.945	94	51	296	3.15	45	2	0	4	44	60.7	1.480	578.0	88.9	0.0	0	0.83	151	57	100	45	1226
1050.9	24.52	0.976	96	48	294	3.06	39	46	3	2	0	61.0	1.530	587.6	98.9	0.0	0	0.00	155	59	100	47	1300
1060.9	24.89	0.995	98	65	294	3.00	28	39	6	46	0	64.9	1.565	597.5	108.9	0.0	0	0.00	157	59	100	47	1461
1070.9	25.00	1.000	144	98	294	2.04	0	37	30	30	0	82.1	1.237	607.5	118.9	0.0	0	0.00	203	59	100	47	1533
1080.9	24.84	0.992	173	96	294	1.70	1	28	5	9	0	105.2	1.256	617.4	128.9	0.0	0	0.00	233	60	100	47	1659
1090.9	24.42	0.971	181	46	362	2.00	35	5	0	24	22	113.0	1.442	627.3	138.9	0.0	0	6.08	242	61	168	47	1723
1100.9	23.76	0.938	205	54	564	2.75	33	39	0	5	49	123.9	1.460	636.8	148.9	0.0	0	6.71	266	61	370	47	1752
1110.9	22.86	0.893	207	64	677	3.27	35	72	0	1	79	127.6	1.549	646.0	158.9	0.0	0	5.26	270	63	483	47	1752
1120.9	21.76	0.838	207	35	756	3.65	38	104	0	0	106	130.5	1.596	654.6	168.9	0.0	0	3.55	271	64	562	47	1752
1130.9	20.49	0.774	202	40	808	4.00	41	137	0	0	133	125.0	1.600	662.7	178.9	0.0	0	2.07	271	69	614	47	1752
1140.9	19.09	0.704	200	42	808	4.04	37	171	0	0	154	128.4	1.600	670.1	188.9	0.0	0	3.16	271	71	614	47	1752
1150.9	17.59	0.630	198	21	906	4.58	30	192	0	0	169	127.0	1.600	676.8	195.0	0.4	1	0.00	271	73	712	47	1752
1160.9	16.05	0.553	198	81	997	5.04	5	211	0	0	175	137.4	1.600	682.7	195.0	1.5	1	0.00	271	73	803	47	1752
1170.9	14.51	0.475	196	131	1011	5.16	0	215	0	0	175	143.0	1.600	687.8	195.0	3.1	1	0.00	271	75	817	47	1752
1180.9	13.01	0.401	191	178	1011	5.29	0	215	0	0	175	142.5	1.600	692.2	195.0	5.2	1	0.00	271	80	817	47	1752
1190.9	11.60	0.330	190	188	1011	5.32	0	215	0	0	175	140.2	1.598	695.9	195.0	8.1	1	0.00	271	81	817	47	1752
1200.9	10.32	0.266	190	190	1011	5.32	0	215	0	0	175	132.5	1.597	698.8	195.0	11.8	1	0.00	271	81	817	47	1752
1210.9	9.21	0.250	189	188	1011	5.35	0	215	0	0	175	123.5	1.596	701.4	195.0	16.6	1	0.00	271	82	817	47	1752
1220.9	8.30	0.250	188	187	1011	5.38	0	215	0	0	175	114.5	1.594	703.9	195.0	22.4	1	0.00	271	83	817	47	1752
1230.9	7.61	0.250	185	185	1011	5.46	0	215	0	0	175	105.6	1.595	706.4	195.0	29.1	1	0.00	271	86	817	47	1752
1240.9	7.18	0.250	184	184	1011	5.49	0	215	0	0	175	96.9	1.593	708.9	195.0	36.7	1	0.00	271	87	817	47	1752
1250.9	7.00	0.250	182	182	1011	5.55	0	215	0	0	175	87.7	1.591	711.4	195.0	44.8	1	0.00	271	89	817	47	1752
1260.9	7.09	0.250	180	180	1011	5.62	0	215	0	0	175	78.8	1.590	713.9	195.0	53.0	1	0.00	271	91	817	47	1752
1270.9	7.45	0.250	177	177	1011	5.71	0	215	0	0	175	70.2	1.589	716.4	195.0	60.8	1	0.00	271	94	817	47	1752
1280.9	8.06	0.250	177	177	1011	5.71	0	215	0	0	175	62.8	1.586	718.9	195.0	67.8	1	0.00	271	94	817	47	1752
1290.9	8.90	0.250	174	174	1011	5.81	0	215	0	0	175	54.3	1.582	721.4	195.0	74.0	1	0.00	271	97	817	47	1752
1300.9	9.95	0.250	174	174	1011	5.81	0	215	0	0	175	47.3	1.577	723.9	195.0	79.0	1	0.00	271	97	817	47	1752
1310.9	11.18	0.309	171	171	1011	5.91	0	215	0	0	175	38.9	1.570	726.6	195.0	83.1	1	0.00	271	100	817	47	1752
1320.9	12.56	0.378	170	170	1011	5.95	0	215	15	0	175	30.1	1.559	730.1	3.9	0.0	0	0.00	271	101	817	47	1752
